book a spot for 3 in mt	O O O O B-party_size_number O B-state
book a restaurant for eight people in six years	O O B-restaurant_type O B-party_size_number O B-timeRange I-timeRange I-timeRange
i need to book a restaurant in fork mountain  sc for valarie  mari and i	O O O O O B-restaurant_type O B-city I-city B-state O B-party_size_description I-party_size_description I-party_size_description I-party_size_description
book a restaurant at sixteen o clock in sc	O O B-restaurant_type O B-timeRange I-timeRange I-timeRange O B-state
i d like to go to the popular bistro in oh	O O O O O O O B-sort B-restaurant_type O B-state
book a taverna that serves vichyssoise within walking distance in oh	O O B-restaurant_type O O B-served_dish B-spatial_relation I-spatial_relation I-spatial_relation O B-state
book a brasserie for one	O O B-restaurant_type O B-party_size_number
i want to book a restaurant not far from our college	O O O O O B-restaurant_type B-spatial_relation I-spatial_relation O B-poi I-poi
i d like to go to the venetian theatre in gabon  party of seven	O O O O O O O B-restaurant_name I-restaurant_name O B-country O O B-party_size_number
book a reservation for a pub with ma po tofu in moldova	O O O O O B-restaurant_type O B-served_dish I-served_dish I-served_dish O B-country
book me seats for 6 at the best brasserie that serves marche neighboring my hostel	O O O O B-party_size_number O O B-sort B-restaurant_type O O B-cuisine B-spatial_relation B-poi I-poi
i want to book the hat for my grandfather and i in arkansas	O O O O B-restaurant_name I-restaurant_name O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-state
book a tea place at seven	O O B-timeRange O O B-party_size_number
i need a reservation for 6 pm  with a party of 10 at sand lake	O O O O O B-timeRange I-timeRange O O O O B-party_size_number O B-city I-city
i want to eat at a pickled cucumber brasserie in 12 months	O O O O O O B-served_dish I-served_dish B-restaurant_type B-timeRange I-timeRange I-timeRange
i need a table at the ledbury at 18 o clock	O O O O O B-restaurant_name I-restaurant_name O B-timeRange I-timeRange I-timeRange
i d like a table in a smoking room in a taverna on sep  23  2023	O O O O O O O B-facility I-facility O O B-restaurant_type O B-timeRange I-timeRange I-timeRange
book me a table for seven people at a bar with a pool	O O O O O B-party_size_number O O O B-restaurant_type O O B-facility
make a reservation for 9 at a brasserie with parking	O O O O B-party_size_number O O B-restaurant_type O B-facility
i need seating at floating restaurant in tennessee for a group of 9	O O O O B-restaurant_name I-restaurant_name O B-state O O O O B-party_size_number
